Group,String,Position,ID,Voc,Isc,Vmp,Imp
7,4,3,165,39.73,13.9,33.2,13.08
7,4,4,418,39.38,13.79,32.85,13.08
7,4,5,225,52.75,14.12,43.93,13.1
7,4,6,36,39.84,13.91,33.33,13.12
7,4,7,299,52.76,14.12,43.94,13.13
7,4,8,94,52.48,14.02,43.62,13.15
7,4,9,355,39.74,13.9,33.21,13.16
8,0,0,451,39.76,13.91,33.22,13.17
8,0,1,436,39.89,13.94,33.37,13.18
8,0,2,474,39.89,13.94,33.36,13.19
8,0,3,77,52.84,14.16,44.0,13.22
8,0,4,42,39.94,13.98,33.41,13.23
8,0,5,238,39.91,13.96,33.39,13.25
8,0,6,70,52.79,14.14,43.96,13.25
8,0,7,120,48.19,15.72,40.19,13.68
8,0,8,23,48.31,15.77,40.33,13.82
8,0,9,209,48.94,16.04,40.98,13.85
8,1,0,199,48.32,15.77,40.34,13.87
8,1,1,316,48.53,15.87,40.55,13.88
8,1,2,472,48.68,15.94,40.71,13.89
8,1,3,149,48.39,15.82,40.39,13.94
8,1,4,62,48.16,15.7,40.17,13.97
8,1,5,290,48.38,15.81,40.38,14.02
8,1,6,394,48.7,15.95,40.72,14.06
8,1,7,475,48.85,16.01,40.88,14.07
8,1,8,188,48.47,15.83,40.5,14.08
8,2,0,181,48.85,16.01,40.88,14.09
8,2,1,104,48.32,15.81,40.3,14.1
8,2,2,37,48.73,15.97,40.75,14.13
8,2,3,206,48.66,15.93,40.7,14.14
8,2,4,98,48.45,15.85,40.44,14.16
8,2,5,134,48.51,15.86,40.53,14.17
8,2,6,374,48.51,15.86,40.53,14.17
8,2,7,138,48.94,16.04,40.98,14.19
8,2,8,342,48.28,15.78,40.27,14.19
8,3,0,426,48.91,16.05,40.93,14.2
8,3,1,307,48.48,15.84,40.5,14.22
8,3,2,208,48.46,15.83,40.49,14.23
8,3,3,10,48.97,16.06,41.01,14.23
8,3,4,488,48.91,16.05,40.93,14.24
8,3,5,173,48.23,15.75,40.23,14.25
8,3,6,413,48.41,15.83,40.41,14.26
8,3,7,239,48.28,15.78,40.27,14.27
8,3,8,489,48.15,15.69,40.16,14.27
8,4,0,182,48.8,15.98,40.84,14.28
8,4,1,298,49.01,16.08,41.03,14.3
8,4,2,135,48.8,16.02,40.81,14.31
8,4,3,217,48.44,15.85,40.44,14.31
8,4,4,490,48.57,15.9,40.58,14.32
8,4,5,461,48.38,15.81,40.39,14.33
8,4,6,260,48.64,15.91,40.68,14.33
8,4,7,143,48.24,15.75,40.23,14.34
8,4,8,88,48.79,16.01,40.8,14.34
9,0,0,480,48.4,15.82,40.4,14.34
9,0,1,108,48.24,15.75,40.23,14.34
9,0,2,6,48.75,15.98,40.77,14.35
9,0,3,427,48.19,15.72,40.19,14.35
9,0,4,363,48.79,15.97,40.83,14.36
9,0,5,258,48.55,15.89,40.56,14.37
9,0,6,212,48.33,15.81,40.31,14.37
9,0,7,11,48.24,15.75,40.23,14.37
9,0,8,202,48.92,16.06,40.93,14.37
9,1,0,421,48.74,15.98,40.76,14.38
9,1,1,344,48.37,15.84,40.34,14.38
9,1,2,296,48.45,15.86,40.45,14.39
9,1,3,283,48.71,15.96,40.74,14.39
9,1,4,412,48.69,15.98,40.69,14.39
9,1,5,8,49.04,16.1,41.06,14.41
9,1,6,458,48.82,16.03,40.83,14.41
9,1,7,128,48.82,15.99,40.85,14.41
9,1,8,314,48.41,15.83,40.41,14.43
9,2,0,158,49.13,16.16,41.14,14.43
9,2,1,366,48.81,15.99,40.85,14.45
9,2,2,152,48.38,15.85,40.35,14.47
9,2,3,5,48.4,15.82,40.41,14.48
9,2,4,207,48.79,16.01,40.81,14.49
9,2,5,80,48.52,15.9,40.51,14.49
9,2,6,447,48.44,15.85,40.44,14.49
9,2,7,130,48.85,16.05,40.85,14.51
9,2,8,76,48.43,15.85,40.43,14.53
9,3,0,309,49.02,16.12,41.02,14.53
9,3,1,46,49.09,16.13,41.1,14.59
9,3,2,112,48.76,15.99,40.78,14.61
9,3,3,360,49.0,16.11,41.01,14.61
9,3,4,174,48.95,16.08,40.97,14.62
9,3,5,251,48.76,15.99,40.78,14.62
9,3,6,318,48.7,15.98,40.69,14.65
9,3,7,201,48.86,16.05,40.86,14.66
9,3,8,150,49.07,16.12,41.09,14.66
